property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,active
65212520,2 bed flat to rent,3000,https://www.zoopla.co.uk/to-rent/details/65212520/,"St Pancras Way, Camden NW1",Chestertons - Camden & Primrose Hill,2,1,10,1,3,0.49,10,0.32,10,0.75,10,0.31,10,1
65213081,3 bed flat to rent,2850,https://www.zoopla.co.uk/to-rent/details/65213081/,"Clifton Court, London N4",David Andrew Estates,3,1,10,1,5,0.514,10,0.29300000000000004,10,0.8,20,0.805,10,1
65213390,2 bed terraced house to rent,3150,https://www.zoopla.co.uk/to-rent/details/65213390/,"Hemingford Road, Islington Central N1",Chestertons - Islington,2,1,8,1,4,0.49,9,0.26,9,0.84,9,0.42,9,1
65213597,2 bed terraced house to rent,3358,https://www.zoopla.co.uk/to-rent/details/65213597/,"Lowndes Square, Knightsbridge SW1X",Chestertons - Knightsbridge & Belgravia,2,0,4,1,2,0.47,5,0.35,5,0.63,5,0.33,5,1
65213611,2 bed terraced house to rent,23833,https://www.zoopla.co.uk/to-rent/details/65213611/,"Eaton Place, Belgravia SW1X",Chestertons - Knightsbridge & Belgravia,2,1,7,1,2,0.5,7,0.3,7,0.6,7,0.56,7,1
65215129,2 bed maisonette to rent,2200,https://www.zoopla.co.uk/to-rent/details/65215129/,"Waldeck Road, East Sheen SW14",Chestertons - East Sheen,2,1,8,1,2,0.44,8,0.5,8,0.68,8,0.57,8,1
65215991,1 bed flat to rent,3500,https://www.zoopla.co.uk/to-rent/details/65215991/,"Canalside Walk, Westminster W2",Regent Letting & Property Management Ltd,1,1,7,1,2,0.54,7,0.43,7,0.6,7,0.55,7,1
65216475,3 bed terraced house to rent,3800,https://www.zoopla.co.uk/to-rent/details/65216475/,"Whellock Road, London W4",Ellis & Co - Greenford,3,1,18,1,3,0.41833333333333333,18,0.39,18,0.696,36,0.8,18,1
65216619,1 bed end terrace house to rent,1750,https://www.zoopla.co.uk/to-rent/details/65216619/,"Redway Drive, Twickenham TW2",Your Move - Whitton,1,1,5,1,1,0.47,5,0.27,5,0.85,5,0.65,5,1
65217339,1 bed terraced house to rent,2000,https://www.zoopla.co.uk/to-rent/details/65217339/,"Aldebert Terrace, South Lambeth SW8",Chestertons - Battersea Park,1,0,4,1,1,0.49,4,0.54,4,0.84,4,0.55,4,1
65217625,2 bed terraced house to rent,3467,https://www.zoopla.co.uk/to-rent/details/65217625/,"St. Ervans Road, North Kensington W10",Chestertons - Notting Hill,2,1,10,1,4,0.49,10,0.25,10,0.86,10,0.77,10,1
65217641,1 bed mews to rent,5850,https://www.zoopla.co.uk/to-rent/details/65217641/,"Pottery Lane, Holland Park W11",Chestertons - Notting Hill,1,1,5,1,1,0.53,5,0.37,5,0.58,5,0.63,5,1
65217835,2 bed terraced house to rent,3250,https://www.zoopla.co.uk/to-rent/details/65217835/,"Ashburn Gardens, South Kensington SW7",Chestertons - South Kensington,2,1,7,1,2,0.51,7,0.27,7,0.66,7,0.39,7,1
65217873,1 bed terraced house to rent,4095,https://www.zoopla.co.uk/to-rent/details/65217873/,"Harrington Gardens, South Kensington SW7",Chestertons - South Kensington,1,1,8,1,1,0.48,8,0.46,8,0.55,8,0.35,8,1
65217916,2 bed flat to rent,8000,https://www.zoopla.co.uk/to-rent/details/65217916/,"Onslow Gardens, South Kensington SW7",Chestertons - South Kensington,2,1,12,0,1,0.53,12,0.25,12,0.65,12,0.49,12,1
65218534,3 bed terraced house to rent,3900,https://www.zoopla.co.uk/to-rent/details/65218534/,"Manley Street, London NW1",Hastings International - London Bridge,3,1,10,1,4,0.52,10,0.28,10,0.76,10,0.48,10,1
65222811,3 bed end terrace house to rent,3500,https://www.zoopla.co.uk/to-rent/details/65222811/,"Ivydale Road, Nunhead, London SE15",Pedder - Peckham,3,1,6,0,2,0.45999999999999996,6,0.31833333333333336,6,0.868,12,0.42333333333333334,6,1
65223581,1 bed flat to rent,2925,https://www.zoopla.co.uk/to-rent/details/65223581/,"Eagle Point, City Road, London EC1V",Savills - Shoreditch Lettings,1,1,9,1,2,0.48,9,0.252,9,0.736,18,0.537,9,1
