property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,large_windows_score,large_windows_count,high_ceiling_score,high_ceiling_count,fireplace_score,fireplace_count,active
68285396,1 bed flat to rent,2250,https://www.zoopla.co.uk/to-rent/details/68285396/,"Quest House, Blackwall Reach E14",Right Now Residential,1,0,4,1,1,0.513,5,0.257,5,0.68,10,0.545,5,0.726,4,0.438,4,0.132,2,1
68285422,Room to rent,900,https://www.zoopla.co.uk/to-rent/details/68285422/,"Wightman Road, Haringay, London N4",Lyss Homes Ltd,1,1,6,1,2,0.503,6,0.317,6,0.58,12,0.538,6,0.502,5,0.455,5,-1.0,0,1
68285442,2 bed flat to rent,2200,https://www.zoopla.co.uk/to-rent/details/68285442/,"Greenleaf Walk, Southall UB1",JKDRG,2,1,18,1,4,0.503,18,0.276,18,0.483,36,0.389,18,0.632,17,0.473,17,0.379,6,1
68285443,1 bed flat to rent,1100,https://www.zoopla.co.uk/to-rent/details/68285443/,"Percy Gardens, Old Malden, Worcester Park KT4",White & Hayward,1,1,11,1,1,0.451,11,0.188,11,0.661,22,0.709,11,0.397,10,0.45,10,0.056,1,1
68285444,Room to rent,700,https://www.zoopla.co.uk/to-rent/details/68285444/,"Gough Walk, London E14",City Realtor,1,0,3,1,1,0.473,4,0.424,4,0.74,8,0.745,4,0.451,2,0.465,2,-1.0,0,1
68285450,3 bed flat to rent,1750,https://www.zoopla.co.uk/to-rent/details/68285450/,"Falconwood Parade, Welling, Kent DA16",Anthony James- South East,3,0,4,0,0,0.344,5,0.444,5,0.791,10,0.367,5,0.582,4,0.595,4,-1.0,0,1
68285457,1 bed flat to rent,1712,https://www.zoopla.co.uk/to-rent/details/68285457/,"Achilles Road, London NW6",London Habitat,1,1,7,1,1,0.52,7,0.35,7,0.867,14,0.538,7,0.617,6,0.45,6,0.253,1,1
68285475,2 bed terraced house to rent,4100,https://www.zoopla.co.uk/to-rent/details/68285475/,"Leamore Street, London W6",Citywharf Property Investments Consultancy Limited,2,1,12,1,2,0.582,12,0.646,12,0.563,24,0.562,12,0.669,11,0.5,11,0.431,2,1
68285477,2 bed flat to rent,4767,https://www.zoopla.co.uk/to-rent/details/68285477/,"Lewis Cubitt Park, London N1C",JC Living,2,1,5,0,1,0.484,5,0.588,5,0.38,10,0.39,5,0.519,5,0.437,5,-1.0,0,1
68285478,2 bed flat to rent,2800,https://www.zoopla.co.uk/to-rent/details/68285478/,"Brixton Hill, Brixton Hill, London SW2",Foxtons - Brixton,2,1,7,1,4,0.486,7,0.416,7,0.797,14,0.309,7,0.683,7,0.478,7,0.348,1,1
