property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,large_windows_score,large_windows_count,high_ceiling_score,high_ceiling_count,fireplace_score,fireplace_count,active
13880612,3 bed terraced house to rent,2799,https://www.zoopla.co.uk/to-rent/details/13880612/,"Sternhall Lane, London SE15",Kushy Move,3,1,9,1,4,0.489,9,0.22,9,0.616,18,0.486,9,0.533,9,0.466,9,0.314,2,1
16578165,3 bed terraced house to rent,2000,https://www.zoopla.co.uk/to-rent/details/16578165/,"Dagenham Avenue, Dagenham, Essex RM9",Stoneshaw Estates,3,1,14,1,3,0.459,14,0.213,14,0.685,28,0.286,14,0.452,13,0.411,13,-1.0,0,1
20841547,3 bed maisonette to rent,2492,https://www.zoopla.co.uk/to-rent/details/20841547/,"Rotherfield Street, Islington, London N1",City Property Consultants,3,1,7,1,5,0.461,8,0.189,8,0.879,16,0.381,8,0.545,5,0.448,5,-1.0,0,1
27434037,1 bed flat to rent,1500,https://www.zoopla.co.uk/to-rent/details/27434037/,"High Road, Willesden, London NW10",A to Z Property Services,1,1,7,1,3,0.473,7,0.353,7,0.672,14,0.134,7,0.558,7,0.508,7,0.204,1,1
28447288,1 bed flat to rent,1820,https://www.zoopla.co.uk/to-rent/details/28447288/,"Fortune Green Road, London NW6",Concept Studio Apartments,1,1,9,1,5,0.453,9,0.37,9,0.632,18,0.612,9,0.51,8,0.465,8,-1.0,0,1
29033922,1 bed flat to rent,1250,https://www.zoopla.co.uk/to-rent/details/29033922/,"Chatsworth Road, Croydon CR0",Johnson Hewitt,1,1,6,1,2,0.453,6,0.181,6,0.741,12,0.347,6,0.546,6,0.484,6,0.387,2,1
30447255,3 bed flat to rent,12978,https://www.zoopla.co.uk/to-rent/details/30447255/,"Ennismore Gardens, London SW7",Peerman Premier,3,1,10,0,1,0.5,10,0.217,10,0.686,20,0.382,10,0.677,9,0.493,9,0.61,3,1
30800823,2 bed terraced house to rent,1700,https://www.zoopla.co.uk/to-rent/details/30800823/,"Armstead Walk, Dagenham, Essex RM10",Stoneshaw Estates,2,1,8,1,3,0.488,9,0.245,9,0.826,18,0.409,9,0.528,7,0.482,7,0.422,3,1
31693152,2 bed flat to rent,2405,https://www.zoopla.co.uk/to-rent/details/31693152/,"Switch House, 4 Blackwall Way, East India Quays, Canary Wharf, London E14",Jack Barclay Estates,2,0,2,0,0,0.458,2,0.258,2,0.876,4,0.875,2,0.67,2,0.429,2,-1.0,0,1
33126906,3 bed flat to rent,3200,https://www.zoopla.co.uk/to-rent/details/33126906/,"Halton Road, London N1",Hanley Estates,3,1,6,1,3,0.419,7,0.216,7,0.829,14,0.394,7,0.52,6,0.476,6,0.135,1,1
34071035,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/34071035/,"Westpoint Apartments, Clarendon Road, Turnpike Lane N8",Alex Crown Lettings & Estate Agents,1,1,7,1,1,0.496,7,0.499,7,0.634,14,0.597,7,0.552,7,0.522,7,0.309,3,1
34713420,1 bed flat to rent,1777,https://www.zoopla.co.uk/to-rent/details/34713420/,"Greenfield Gardens, London NW2",Rent,1,1,9,1,3,0.442,9,0.237,9,0.687,18,0.588,9,0.441,9,0.467,9,0.077,3,1
34905417,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/34905417/,"Ivy Point, 5 Hannaford Walk, Bromley By Bow, London E3",Domeview Properties,1,1,5,1,1,0.455,5,0.188,5,0.493,10,0.753,5,0.591,4,0.461,4,0.08,1,1
35909258,2 bed flat to rent,2058,https://www.zoopla.co.uk/to-rent/details/35909258/,"Finchley Road, London NW3",Rent,2,1,7,1,3,0.456,7,0.302,7,0.6,14,0.689,7,0.394,6,0.53,6,0.216,2,1
36451332,1 bed flat to rent,1650,https://www.zoopla.co.uk/to-rent/details/36451332/,"Roma Corte, 2 Elmira Street, Lewisham, London SE13",Domeview Properties,1,1,5,1,1,0.418,5,0.166,5,0.466,10,0.824,5,0.533,5,0.496,5,0.089,1,1
36978262,3 bed flat to rent,3800,https://www.zoopla.co.uk/to-rent/details/36978262/,"Tysoe Street, London EC1R",Parks Properties,3,1,6,0,2,0.428,6,0.182,6,0.837,12,0.778,6,0.535,5,0.45,5,0.098,2,1
37726757,3 bed flat to rent,2700,https://www.zoopla.co.uk/to-rent/details/37726757/,"Ricards Road, Wimbledon, London SW19",Plum Lettings,3,1,7,1,4,0.51,8,0.247,8,0.855,16,0.705,8,0.643,7,0.48,7,0.654,1,1
37728757,1 bed flat to rent,1400,https://www.zoopla.co.uk/to-rent/details/37728757/,"Harrowdene Gardens, Teddington TW11",Ross Hand Estate Agents,1,0,3,0,0,0.444,3,0.188,3,0.71,6,0.55,3,0.59,2,0.517,2,0.616,1,1
38012269,1 bed flat to rent,1712,https://www.zoopla.co.uk/to-rent/details/38012269/,"Boundary Road, London NW8",Rent,1,1,8,1,2,0.438,8,0.211,8,0.607,16,0.769,8,0.572,8,0.479,8,0.13,2,1
38069266,1 bed flat to rent,1625,https://www.zoopla.co.uk/to-rent/details/38069266/,"Uplands Road, Crouch End N8",Living Space Estate Agents,1,0,4,1,1,0.425,4,0.395,4,0.595,8,0.804,4,0.445,3,0.513,3,-1.0,0,1
38755491,3 bed flat to rent,3300,https://www.zoopla.co.uk/to-rent/details/38755491/,"Crewdson Road, London SW9",Avrasons Ltd,3,1,9,1,5,0.533,9,0.451,9,0.733,18,0.457,9,0.548,9,0.494,9,0.522,2,1
38757331,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/38757331/,"Oval Quarter, Oval, London SW9",Avrasons Ltd,2,1,9,1,3,0.481,10,0.286,10,0.641,20,0.542,10,0.601,9,0.449,9,0.103,1,1
38875273,1 bed flat to rent,1517,https://www.zoopla.co.uk/to-rent/details/38875273/,"Pulse Development, Colindale NW9",Becker and Company,1,1,6,1,1,0.578,6,0.143,6,0.586,12,0.658,6,0.614,6,0.499,6,0.074,2,1
38955850,1 bed flat to rent,1993,https://www.zoopla.co.uk/to-rent/details/38955850/,"Moore House, Canary Central, Canary Wharf, London E14",Jack Barclay Estates,1,1,5,0,0,0.432,5,0.346,5,0.295,10,0.549,5,0.571,4,0.492,4,-1.0,0,1
39097798,3 bed flat to rent,6283,https://www.zoopla.co.uk/to-rent/details/39097798/,"Thackeray Street, Kensington W8",Thackerays,3,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
39119141,2 bed semi-detached house to rent,2000,https://www.zoopla.co.uk/to-rent/details/39119141/,"Stainton Road, London SE6",Home 2 U,2,1,6,1,2,0.472,7,0.149,7,0.535,14,0.663,7,0.529,5,0.474,5,0.253,2,1
39207568,1 bed flat to rent,2383,https://www.zoopla.co.uk/to-rent/details/39207568/,"Hastings Street, Kings Cross WC1H",Fyfe Mcdade Ltd,1,1,7,1,4,0.506,8,0.324,8,0.604,16,0.613,8,0.489,6,0.469,6,0.13,2,1
39445779,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/39445779/,"Montrell Road, London SW2",Avrasons Ltd,1,1,8,0,0,0.487,8,0.32,8,0.874,16,0.627,8,0.653,8,0.455,8,0.231,1,1
39461193,3 bed semi-detached house to rent,2200,https://www.zoopla.co.uk/to-rent/details/39461193/,"Oldfield Lane North, Greenford UB6",Connells - Harrow,3,1,25,1,4,0.435,26,0.242,26,0.698,52,0.832,26,0.576,24,0.449,24,0.065,4,1
39495925,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/39495925/,"Gordon Avenue, St Margarets TW1",Chancellors - Richmond,1,1,7,1,4,0.499,8,0.519,8,0.736,16,0.305,8,0.625,7,0.569,7,-1.0,0,1
39976447,1 bed flat to rent,1900,https://www.zoopla.co.uk/to-rent/details/39976447/,"Cedar House, Emerald Gardens, Wembley Park HA9",Wembley Park Residential,1,0,3,1,1,0.474,4,0.221,4,0.508,8,0.733,4,0.649,2,0.339,2,0.078,1,1
40048363,2 bed flat to rent,2492,https://www.zoopla.co.uk/to-rent/details/40048363/,"Ability Place, 37 Millharbour, Canary Wharf, London E14",Monreal Shaw,2,1,8,1,3,0.5,8,0.294,8,0.442,16,0.532,8,0.511,8,0.477,8,0.328,2,1
40272190,3 bed flat to rent,4983,https://www.zoopla.co.uk/to-rent/details/40272190/,"East Harbet Road, Paddington W2",Goldschmidt & Howland - Little Venice,3,0,4,0,1,0.445,4,0.295,4,0.561,8,0.638,4,0.579,4,0.534,4,0.482,1,1
40465967,2 bed flat to rent,2600,https://www.zoopla.co.uk/to-rent/details/40465967/,"Liverpool Road, London N7",Alex Crown Lettings & Estate Agents,2,1,5,1,2,0.589,5,0.572,5,0.744,10,0.533,5,0.568,4,0.497,4,0.476,1,1
40523545,2 bed flat to rent,2000,https://www.zoopla.co.uk/to-rent/details/40523545/,"The Crest, Brecknock Road, London N7",Alex Crown Lettings & Estate Agents,2,0,4,0,1,0.46,4,0.266,4,0.629,8,0.551,4,0.632,4,0.523,4,-1.0,0,1
40559366,2 bed flat to rent,5200,https://www.zoopla.co.uk/to-rent/details/40559366/,"Cromwell Crescent, Kensington SW5",M2 Property Ltd,2,1,8,1,2,0.426,8,0.234,8,0.617,16,0.625,8,0.623,8,0.512,8,0.271,4,1
40594633,1 bed flat to rent,1750,https://www.zoopla.co.uk/to-rent/details/40594633/,"Richmond, Surrey TW10",Chancellors - Richmond,1,1,9,0,0,0.444,9,0.354,9,0.805,18,0.805,9,0.57,8,0.505,8,0.193,3,1
40669816,1 bed flat to rent,2250,https://www.zoopla.co.uk/to-rent/details/40669816/,"Memel Street, Old Street EC1Y",Tower Quay Limited,1,1,6,1,2,0.501,6,0.297,6,0.77,12,0.828,6,0.636,6,0.373,6,0.307,1,1
40716520,2 bed flat to rent,1700,https://www.zoopla.co.uk/to-rent/details/40716520/,"Windmill Hill, Enfield EN2",Grange Homes Estate Agents,2,1,8,0,1,0.386,9,0.213,9,0.699,18,0.547,9,0.442,8,0.393,8,-1.0,0,1
40724204,2 bed flat to rent,6717,https://www.zoopla.co.uk/to-rent/details/40724204/,"John Islip Street, Westminster SW1P",Benham and Reeves - Knightsbridge,2,1,10,1,3,0.561,10,0.189,10,0.561,20,0.515,10,0.656,10,0.405,10,0.316,3,1
40755439,1 bed flat to rent,1550,https://www.zoopla.co.uk/to-rent/details/40755439/,"Edgware, Harrow HA8",Chancellors - Stanmore,1,1,7,1,1,0.464,7,0.148,7,0.607,14,0.643,7,0.556,6,0.501,6,0.146,3,1
40818498,1 bed flat to rent,1400,https://www.zoopla.co.uk/to-rent/details/40818498/,"Granville Road, North Finchley N12",Bennett & Hall,1,0,3,1,1,0.41,4,0.328,4,0.81,8,0.775,4,0.564,3,0.509,3,0.077,1,1
40832280,2 bed flat to rent,2396,https://www.zoopla.co.uk/to-rent/details/40832280/,"Chiswick Village, Chiswick, London W4",Barnard Marcus - Chiswick,2,1,6,0,0,0.395,6,0.315,6,0.68,12,0.802,6,0.532,6,0.485,6,-1.0,0,1
40917024,1 bed flat to rent,2000,https://www.zoopla.co.uk/to-rent/details/40917024/,"Oxford Road, London SW15",Warren & Co,1,0,4,1,1,0.512,4,0.229,4,0.774,8,0.45,4,0.565,4,0.498,4,0.208,1,1
40988436,2 bed flat to rent,4160,https://www.zoopla.co.uk/to-rent/details/40988436/,"Pelham Court, Chelsea SW3",M2 Property Ltd,2,1,10,1,4,0.431,10,0.222,10,0.655,20,0.395,10,0.567,8,0.448,8,0.222,3,1
41304453,1 bed flat to rent,3358,https://www.zoopla.co.uk/to-rent/details/41304453/,"Ambassador Building, Embassy Gardens, London SW11",JOHNS&CO - Nine Elms,1,1,11,1,2,0.528,12,0.28,12,0.538,24,0.553,12,0.642,11,0.477,11,0.219,4,1
41304824,2 bed flat to rent,4550,https://www.zoopla.co.uk/to-rent/details/41304824/?search_identifier=f8eba546b154797a88564a35d7562afd73559e48aeb25e36df3224ecb474ed73,"Riverlight Three, Riverlight Quay, London SW11",JOHNS&CO - Nine Elms,2,1,7,1,2,0.522,8,0.254,8,0.562,16,0.482,8,0.692,7,0.437,7,0.225,2,1
41341032,2 bed terraced house to rent,2300,https://www.zoopla.co.uk/to-rent/details/41341032/,"Shalbourne Sq, Hackney E9",Robert Alan Homes,2,1,5,1,2,0.456,5,0.274,5,0.767,10,0.458,5,0.476,5,0.513,5,0.287,1,1
41351393,2 bed flat to rent,3792,https://www.zoopla.co.uk/to-rent/details/41351393/,"Discovery Dock West, South Quay, London E14",Monreal Shaw,2,1,8,1,3,0.531,8,0.204,8,0.556,16,0.502,8,0.735,7,0.445,7,0.36,3,1
41386991,2 bed flat to rent,2950,https://www.zoopla.co.uk/to-rent/details/41386991/,"Leighton Road, London NW5",Alex Crown Lettings & Estate Agents,2,1,9,1,4,0.544,9,0.506,9,0.781,18,0.43,9,0.631,7,0.46,7,0.384,2,1
41586014,Room to rent,867,https://www.zoopla.co.uk/to-rent/details/41586014/,"Southcott House, Devons Road, Bow, London E3",Prime Land,1,0,4,1,1,0.513,5,0.219,5,0.613,10,0.641,5,0.32,3,0.427,3,-1.0,0,1
41646890,1 bed flat to rent,2925,https://www.zoopla.co.uk/to-rent/details/41646890/,"Hayes Place, London NW1",Lord Estates,1,1,8,1,1,0.497,8,0.198,8,0.754,16,0.573,8,0.657,8,0.488,8,0.236,3,1
41693541,2 bed terraced house to rent,1820,https://www.zoopla.co.uk/to-rent/details/41693541/,"Firbank Close, London E16",City Property Consultants,2,1,6,1,2,0.417,7,0.167,7,0.63,14,0.846,7,0.533,6,0.456,6,0.376,3,1
41796443,3 bed terraced house to rent,3500,https://www.zoopla.co.uk/to-rent/details/41796443/,"Hollydale Road, Peckham SE15",CKB Estate Agents,3,1,13,1,5,0.491,13,0.362,13,0.734,26,0.564,13,0.608,13,0.524,13,0.275,2,1
41796554,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/41796554/,"Hill House Mews, Bromley BR2",CKB Estate Agents,1,1,8,1,2,0.48,8,0.313,8,0.789,16,0.28,8,0.638,8,0.491,8,0.508,2,1
41798594,1 bed flat to rent,1450,https://www.zoopla.co.uk/to-rent/details/41798594/,"Express Drive, Ilford IG3",Hansons Estates,1,0,4,1,1,0.512,4,0.465,4,0.769,8,0.755,4,0.627,4,0.359,4,0.169,1,1
41803423,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/41803423/,"Newlands Quay, Wapping E1W",Property Liaisons,2,1,9,0,1,0.478,9,0.192,9,0.694,18,0.556,9,0.639,8,0.49,8,0.446,3,1
41803731,2 bed flat to rent,2350,https://www.zoopla.co.uk/to-rent/details/41803731/,"Fitzroy Court, Shepherd's Hill, Highgate N6",Robert Lehrer Properties,2,1,11,1,3,0.457,11,0.185,11,0.749,22,0.69,11,0.653,10,0.474,10,0.136,3,1
41823235,2 bed maisonette to rent,2100,https://www.zoopla.co.uk/to-rent/details/41823235/,"Brim Hill, Hampstead Garden Suburb N2",ML Estates,2,0,4,0,0,0.331,5,0.313,5,0.739,10,0.758,5,0.641,4,0.551,4,-1.0,0,1
41843061,3 bed flat to rent,7107,https://www.zoopla.co.uk/to-rent/details/41843061/,"Merchant Square East, London W2",Residential Land,3,1,11,1,3,0.495,11,0.284,11,0.719,22,0.642,11,0.723,8,0.388,8,0.186,4,1
41844731,3 bed terraced house to rent,1850,https://www.zoopla.co.uk/to-rent/details/41844731/,"Donaldson Road, Woolwich SE18",Ashton Reeves,3,1,6,0,0,0.406,7,0.296,7,0.881,14,0.806,7,0.658,6,0.494,6,0.332,3,1
41956063,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/41956063/,"Soda Studios, Kingsland Road, Haggerston E8",New Space,2,1,9,1,5,0.475,9,0.337,9,0.535,18,0.781,9,0.501,9,0.468,9,-1.0,0,1
42052380,2 bed flat to rent,3597,https://www.zoopla.co.uk/to-rent/details/42052380/,"Ability Place 37 Millharbour, Canary Wharf, London E14",Monreal Shaw,2,1,6,1,2,0.542,6,0.173,6,0.667,12,0.555,6,0.642,5,0.424,5,0.2,3,1
42105002,3 bed detached house to rent,3400,https://www.zoopla.co.uk/to-rent/details/42105002/,"Eastway, Homerton E9",Maxwells Estates,3,1,9,1,3,0.421,9,0.28,9,0.602,18,0.503,9,0.394,9,0.413,9,0.285,2,1
42107417,3 bed maisonette to rent,3500,https://www.zoopla.co.uk/to-rent/details/42107417/,"Downs Road, Hackney Downs, London E5",Dimension Estates London Ltd,3,1,9,1,5,0.467,10,0.421,10,0.802,20,0.561,10,0.73,8,0.499,8,0.655,1,1
42109546,2 bed terraced house to rent,1800,https://www.zoopla.co.uk/to-rent/details/42109546/,"Porters Avenue, Dagenham RM9",Smart Move,2,0,4,0,1,0.377,4,0.246,4,0.769,8,0.735,4,0.558,4,0.431,4,-1.0,0,1
42154374,3 bed flat to rent,3350,https://www.zoopla.co.uk/to-rent/details/42154374/,"Back Church Lane, Aldgate East E1",Tower Quay Limited,3,1,11,0,0,0.458,11,0.436,11,0.614,22,0.803,11,0.47,11,0.539,11,-1.0,0,1
42297428,1 bed flat to rent,1300,https://www.zoopla.co.uk/to-rent/details/42297428/,"Normanton Road, South Croydon CR2",Barnard Marcus - South Croydon,1,0,4,1,1,0.426,5,0.288,5,0.755,10,0.514,5,0.61,4,0.547,4,0.611,1,1
42346594,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/42346594/,"Cranborne Avenue, Surbiton KT6",Barnard Marcus - Surbiton,1,1,6,1,2,0.56,6,0.612,6,0.685,12,0.543,6,0.545,6,0.446,6,0.3,1,1
42449241,1 bed flat to rent,2925,https://www.zoopla.co.uk/to-rent/details/42449241/,"Warren Court, Euston Road NW1",M2 Property Ltd,1,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
42522576,3 bed flat to rent,3142,https://www.zoopla.co.uk/to-rent/details/42522576/,"Laker House, Royal Wharf, London E16",JOHNS&CO - Royal Wharf,3,1,11,1,3,0.539,11,0.385,11,0.556,22,0.65,11,0.618,11,0.411,11,0.59,1,1
42576346,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/42576346/,"Highbury Corner, London N5",NowProperty,2,1,8,1,4,0.467,9,0.252,9,0.68,18,0.621,9,0.46,8,0.477,8,0.17,3,1
42593832,1 bed flat to rent,1650,https://www.zoopla.co.uk/to-rent/details/42593832/,"Dakota Building, Deals Gateway, London SE13",Feliks Augustine,1,1,7,0,0,0.458,7,0.255,7,0.359,14,0.775,7,0.463,5,0.343,5,0.134,1,1
42658889,3 bed terraced house to rent,2300,https://www.zoopla.co.uk/to-rent/details/42658889/,"Station Road, Hayes, Middlesex UB3",Hamlet Homes,3,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
42684353,1 bed flat to rent,2100,https://www.zoopla.co.uk/to-rent/details/42684353/,"City Island, Grantham House, London E14",The Online Letting Agents Ltd,1,1,14,1,1,0.514,14,0.317,14,0.551,28,0.49,14,0.575,13,0.396,13,0.495,2,1
42703373,3 bed flat to rent,3400,https://www.zoopla.co.uk/to-rent/details/42703373/,"Sheppard House, Warner Place, London E2",The Online Letting Agents Ltd,3,1,5,0,0,0.474,6,0.338,6,0.535,12,0.658,6,0.519,4,0.522,4,-1.0,0,1
42926286,1 bed mews to rent,1500,https://www.zoopla.co.uk/to-rent/details/42926286/,"Pilgrim, West Norwood SE27",Willow Residential Letting,1,1,5,1,2,0.484,5,0.218,5,0.703,10,0.446,5,0.421,5,0.464,5,-1.0,0,1
42976284,3 bed flat to rent,2750,https://www.zoopla.co.uk/to-rent/details/42976284/,"Sterling Gardens, London SE14",Reside,3,1,9,1,6,0.459,9,0.184,9,0.683,18,0.874,9,0.605,9,0.512,9,0.054,1,1
43001401,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/43001401/,"Seaforth Lodge, Barnes High Street, Barnes SW13",Apparent Properties Ltd,1,1,5,1,1,0.448,5,0.23,5,0.674,10,0.473,5,0.485,5,0.486,5,0.446,2,1
43015727,2 bed flat to rent,2149,https://www.zoopla.co.uk/to-rent/details/43015727/,"Lavender Hill, London SW11",Noble Estates,2,1,7,1,2,0.469,7,0.199,7,0.751,14,0.559,7,0.637,6,0.471,6,0.33,2,1
43098132,3 bed terraced house to rent,2300,https://www.zoopla.co.uk/to-rent/details/43098132/,"Stevens Road, Dagenham RM8",Stoneshaw Estates,3,1,15,1,4,0.417,15,0.294,15,0.665,30,0.426,15,0.447,15,0.505,15,-1.0,0,1
43264195,2 bed flat to rent,2100,https://www.zoopla.co.uk/to-rent/details/43264195/,"Chaucer Drive, London SE1",Reside,2,1,8,1,2,0.473,9,0.18,9,0.682,18,0.848,9,0.466,8,0.473,8,0.134,2,1
43273536,1 bed flat to rent,1350,https://www.zoopla.co.uk/to-rent/details/43273536/,"High Street, West Drayton UB7",Lawlors Estate Agents,1,0,4,0,0,0.328,4,0.237,4,0.507,8,0.778,4,0.466,4,0.491,4,-1.0,0,1
43333373,1 bed flat to rent,1700,https://www.zoopla.co.uk/to-rent/details/43333373/,"Sanford Lane, London N16",Alex Crown Lettings & Estate Agents,1,1,5,1,1,0.518,5,0.577,5,0.585,10,0.668,5,0.471,5,0.487,5,0.579,1,1
43412908,Room to rent,900,https://www.zoopla.co.uk/to-rent/details/43412908/,"Longbridge Road, Room 2, Dagenham RM8",Keystones Properties,1,1,6,1,3,0.446,6,0.346,6,0.827,12,0.872,6,0.545,6,0.458,6,-1.0,0,1
43562069,3 bed flat to rent,3000,https://www.zoopla.co.uk/to-rent/details/43562069/,"Ward Road, London E15",NowProperty,3,1,12,1,3,0.502,13,0.216,13,0.722,26,0.635,13,0.708,11,0.459,11,0.251,6,1
43618276,3 bed flat to rent,3800,https://www.zoopla.co.uk/to-rent/details/43618276/,"Eliot Vale, Blackheath SE3",Heath Estates,3,1,14,0,0,0.445,15,0.365,15,0.711,30,0.811,15,0.618,14,0.451,14,0.378,7,1
43630558,2 bed flat to rent,2492,https://www.zoopla.co.uk/to-rent/details/43630558/,"Ladbroke Grove, London W10",Notting Hill Residential,2,1,5,1,2,0.425,5,0.203,5,0.598,10,0.701,5,0.557,3,0.584,3,0.063,1,1
43658421,3 bed terraced house to rent,2700,https://www.zoopla.co.uk/to-rent/details/43658421/,"Francis Avenue, Ilford IG1",Xchange Sales and Lettings Limited,3,0,4,0,1,0.515,4,0.22,4,0.739,8,0.752,4,0.553,4,0.364,4,-1.0,0,1
43814094,3 bed flat to rent,3900,https://www.zoopla.co.uk/to-rent/details/43814094/,"Bronwen Court, St John`S Wood NW8",Chancellors - St John's Wood,3,1,5,1,3,0.49,5,0.194,5,0.916,10,0.672,5,0.711,5,0.438,5,0.401,1,1
43915152,3 bed flat to rent,4983,https://www.zoopla.co.uk/to-rent/details/43915152/,"Shroton Street, Marylebone NW1",ML Estates,3,1,10,1,3,0.506,10,0.464,10,0.611,20,0.711,10,0.518,10,0.458,10,0.199,1,1
44064320,Room to rent,850,https://www.zoopla.co.uk/to-rent/details/44064320/,"Westrow Drive, Room 8, Barking IG11",Keystones Properties,1,1,8,1,5,0.501,8,0.155,8,0.502,16,0.762,8,0.23,8,0.448,8,-1.0,0,1
44259574,2 bed semi-detached house to rent,2600,https://www.zoopla.co.uk/to-rent/details/44259574/,"Bardsley Lane, Greenwich, London SE10",The Online Letting Agents Ltd,2,1,12,1,2,0.441,12,0.241,12,0.638,24,0.492,12,0.508,12,0.508,12,0.07,1,1
44260964,2 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/44260964/,"Lyndhurst Road, Edmonton N18",Empire Homes,2,0,4,0,0,0.448,4,0.378,4,0.514,8,0.667,4,0.475,4,0.433,4,0.122,1,1
44287394,1 bed flat to rent,3142,https://www.zoopla.co.uk/to-rent/details/44287394/,"Ambassador Building, Embassy Gardens, London SW11",JOHNS&CO - Nine Elms,1,1,12,1,1,0.523,13,0.4,13,0.506,26,0.634,13,0.638,12,0.429,12,0.38,5,1
44349572,1 bed flat to rent,1755,https://www.zoopla.co.uk/to-rent/details/44349572/,"Malden Place, Chalk Farm NW5",Rochester Place Ltd,1,1,6,1,1,0.401,6,0.179,6,0.649,12,0.846,6,0.599,6,0.48,6,0.12,2,1
44360376,3 bed terraced house to rent,2900,https://www.zoopla.co.uk/to-rent/details/44360376/,"Edwin Road, Twickenham TW2",Websters Estate Agents,3,1,5,0,2,0.438,6,0.285,6,0.795,12,0.768,6,0.656,5,0.482,5,0.513,1,1
44427969,3 bed flat to rent,3185,https://www.zoopla.co.uk/to-rent/details/44427969/,"Quernmore Road, Stroud Green N4",Northview,3,1,7,0,2,0.48,7,0.459,7,0.855,14,0.853,7,0.668,7,0.496,7,0.49,1,1
44480684,1 bed flat to rent,1200,https://www.zoopla.co.uk/to-rent/details/44480684/,"Calverley Cres, Dagenham, Essex RM10",Advanced Investment Management,1,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
44493648,3 bed flat to rent,3200,https://www.zoopla.co.uk/to-rent/details/44493648/,"Fieldgate Street, Aldgate E1",Tower Quay Limited,3,1,7,1,3,0.461,7,0.23,7,0.619,14,0.759,7,0.605,6,0.458,6,0.451,2,1
44557112,1 bed flat to rent,1700,https://www.zoopla.co.uk/to-rent/details/44557112/,"Elthorne Road, London N19",I Am The Agent,1,1,5,1,2,0.583,5,0.516,5,0.541,10,0.824,5,0.527,4,0.502,4,0.534,1,1
44600822,2 bed flat to rent,1850,https://www.zoopla.co.uk/to-rent/details/44600822/,"Benbow Street, Deptford SE8",Reside,2,1,9,1,3,0.451,9,0.288,9,0.78,18,0.841,9,0.624,9,0.519,9,0.173,2,1
44709086,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/44709086/,"Amiot House, Heritage Avenue, Colindale NW9",P&R Residential - London,1,1,5,1,1,0.424,5,0.233,5,0.433,10,0.809,5,0.567,5,0.42,5,0.24,1,1
44735682,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/44735682/,"Wimbledon Park Road, London SW18",Brinkley's Estate Agents,1,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
44735956,2 bed end terrace house to rent,2400,https://www.zoopla.co.uk/to-rent/details/44735956/,"Standen Road, London SW18",Brinkley's Estate Agents,2,0,4,1,2,0.456,5,0.362,5,0.815,10,0.386,5,0.659,4,0.539,4,-1.0,0,1
45057391,2 bed maisonette to rent,2000,https://www.zoopla.co.uk/to-rent/details/45057391/,"Havelock Road, London SW19",Brinkley's Estate Agents,2,1,5,0,1,0.502,5,0.364,5,0.788,10,0.786,5,0.581,5,0.458,5,0.256,1,1
45169778,3 bed flat to rent,3683,https://www.zoopla.co.uk/to-rent/details/45169778/,"Regent Court, North Bank, St John's Wood NW8",Liv International,3,1,10,1,3,0.478,10,0.336,10,0.737,20,0.579,10,0.682,10,0.445,10,0.296,3,1
45234348,1 bed flat to rent,1750,https://www.zoopla.co.uk/to-rent/details/45234348/,"Moriatry Close, London, Greater London N7",NowProperty,1,1,7,1,2,0.521,7,0.219,7,0.729,14,0.803,7,0.565,7,0.544,7,0.207,3,1
45369506,3 bed flat to rent,3400,https://www.zoopla.co.uk/to-rent/details/45369506/,"Back Church Lane, Liverpool Street E1",Tower Quay Limited,3,1,8,1,4,0.459,8,0.343,8,0.593,16,0.754,8,0.487,8,0.506,8,-1.0,0,1
